Position,Name,Salary,AvgPointsPerGame,Team,Oppt,h/a
RB,Le'Veon Bell,9100,21.767,pit,cin,a
RB,Ezekiel Elliott,9000,18.74,dal,sf,h
WR,Antonio Brown,8900,23.667,pit,cin,a
RB,Leonard Fournette,8600,23.2,jax,ind,h
WR,A.J. Green,8300,21.08,cin,pit,h
RB,Todd Gurley II,8200,24.767,lar,ari,h
WR,Dez Bryant,7800,13.08,dal,sf,h
WR,Mike Evans,7600,16.42,tb,buf,h
QB,Drew Brees,7600,18.848,no,gb,h
WR,Michael Thomas,7500,14.42,no,gb,h
RB,LeSean McCoy,7400,15.36,buf,tb,a
WR,Larry Fitzgerald,7300,18.583,ari,lar,h
QB,Dak Prescott,7300,22.456,dal,sf,h
RB,C.J. Anderson,7200,13.28,den,lac,h
QB,Cam Newton,7000,21.19,car,chi,h
RB,Melvin Gordon,7000,21.8,lac,den,a
WR,Kelvin Benjamin,6900,12.017,car,chi,h
QB,Marcus Mariota,6900,17.704,ten,cle,h
WR,Stefon Diggs,6900,17.86,min,bal,a
QB,Aaron Rodgers,6800,20.117,gb,no,a
WR,Jordy Nelson,6800,15,gb,no,a
WR,Jarvis Landry,6800,15.3,mia,nyj,a
RB,Mark Ingram,6700,15.7,no,gb,h
WR,Adam Thielen,6700,14.833,min,bal,a
QB,Carson Palmer,6600,19.08,ari,lar,h
WR,Doug Baldwin,6600,13.22,sea,nyg,h
RB,David Johnson,6500,14.1,ari,lar,h
WR,DeVante Parker,6500,12.15,mia,nyj,a
RB,Jordan Howard,6400,15.867,chi,car,a
QB,Russell Wilson,6400,20.656,sea,nyg,h
RB,Jerick McKinnon,6300,11.017,min,bal,a
WR,Keenan Allen,6300,14.933,lac,den,a
RB,DeMarco Murray,6200,11.317,ten,cle,h
RB,Jay Ajayi,6200,10.68,mia,nyj,a
QB,Ben Roethlisberger,6200,13.707,pit,cin,a
RB,Christian McCaffrey,6100,15.117,car,chi,h
WR,T.Y. Hilton,6100,14.083,ind,jax,a
QB,Jameis Winston,6000,17.472,tb,buf,h
WR,Devin Funchess,6000,12.583,car,chi,h
RB,Doug Martin,5900,15.3,tb,buf,h
QB,Sam Bradford,5900,14.99,min,bal,a
RB,Carlos Hyde,5900,16.7,sf,dal,a
WR,Emmanuel Sanders,5900,12.72,den,lac,h
TE,Delanie Walker,5800,9.483,ten,cle,h
WR,Davante Adams,5800,15.317,gb,no,a
QB,Jared Goff,5800,15.627,lar,ari,h
RB,Adrian Peterson,5800,7.78,ari,lar,h
WR,Pierre Garcon,5800,13.233,sf,dal,a
WR,Demaryius Thomas,5800,13.6,den,lac,h
WR,DeSean Jackson,5700,12.14,tb,buf,h
QB,Andy Dalton,5700,15.08,cin,pit,h
RB,Darren McFadden,5700,0,dal,sf,h
QB,Derek Anderson,5600,0.68,car,chi,h
RB,Alvin Kamara,5600,13.54,no,gb,h
RB,Derrick Henry,5500,8.533,ten,cle,h
WR,Rishard Matthews,5500,10.833,ten,cle,h
RB,Ty Montgomery,5500,13.64,gb,no,a
QB,Andrew Luck,5500,0,ind,jax,a
RB,Alfred Morris,5400,2.175,dal,sf,h
QB,Trevor Siemian,5400,18.012,den,lac,h
WR,Randall Cobb,5300,11.52,gb,no,a
RB,Javorius Allen,5300,12.417,bal,min,h
QB,Philip Rivers,5300,17.57,lac,den,a
RB,Aaron Jones,5200,7.9,gb,no,a
QB,Josh McCown,5200,14.927,nyj,mia,h
WR,Sterling Shepard,5200,11.72,nyg,sea,a
QB,Tyrod Taylor,5100,14.1,buf,tb,a
QB,Brett Hundley,5100,3.79,gb,no,a
RB,Bilal Powell,5100,11.84,nyj,mia,h
QB,Ryan Fitzpatrick,5000,11.2,tb,buf,h
QB,Kevin Hogan,5000,9.695,cle,ten,a
QB,Matt Cassel,5000,3.24,ten,cle,h
QB,Jacoby Brissett,5000,14.527,ind,jax,a
TE,Austin Seferian-Jenkins,5000,12.3,nyj,mia,h
QB,Case Keenum,5000,14.572,min,bal,a
RB,Joe Mixon,5000,8.7,cin,pit,h
WR,Cole Beasley,5000,7.58,dal,sf,h
QB,DeShone Kizer,4900,11.928,cle,ten,a
RB,Duke Johnson Jr.,4900,13.767,cle,ten,a
WR,John Brown,4900,10.45,ari,lar,h
QB,C.J. Beathard,4900,7.1,sf,dal,a
TE,Jimmy Graham,4900,8.98,sea,nyg,h
WR,Corey Coleman,4800,9.1,cle,ten,a
RB,Chris Ivory,4800,8.75,jax,ind,h
QB,Brian Hoyer,4800,12.25,sf,dal,a
QB,Eli Manning,4800,16.623,nyg,sea,a
TE,Cameron Brate,4700,14.62,tb,buf,h
RB,Tarik Cohen,4700,12.29,chi,car,a
QB,Blake Bortles,4700,13.553,jax,ind,h
QB,Jay Cutler,4700,10.456,mia,nyj,a
WR,Jermaine Kearse,4700,12.317,nyj,mia,h
QB,Joe Flacco,4700,8.303,bal,min,h
QB,AJ McCarron,4700,0,cin,pit,h
QB,Mitchell Trubisky,4600,7.347,chi,car,a
TE,Greg Olsen,4600,2.9,car,chi,h
QB,Chase Daniel,4600,0,no,gb,h
WR,Cooper Kupp,4600,9.583,lar,ari,h
WR,Corey Davis,4500,7.15,ten,cle,h
QB,Matt Moore,4500,0,mia,nyj,a
RB,Matt Forte,4500,9.575,nyj,mia,h
QB,Landry Jones,4500,0,pit,cin,a
RB,James Conner,4500,1.15,pit,cin,a
QB,Cooper Rush,4500,0,dal,sf,h
TE,Jason Witten,4500,12.18,dal,sf,h
QB,Cardale Jones,4500,0,lac,den,a
QB,Geno Smith,4500,0,nyg,sea,a
QB,Mike Glennon,4400,11.18,chi,car,a
WR,Sammy Watkins,4400,8.7,lar,ari,h
WR,Jaron Brown,4400,9.067,ari,lar,h
WR,Kenny Stills,4400,8.46,mia,nyj,a
RB,Matt Breida,4400,5.083,sf,dal,a
TE,Evan Engram,4400,10.7,nyg,sea,a
WR,Eric Decker,4300,7.6,ten,cle,h
QB,Scott Tolzien,4300,3.32,ind,jax,a
QB,Chad Henne,4300,-0.3,jax,ind,h
RB,T.J. Yeldon,4300,0,jax,ind,h
WR,Marqise Lee,4300,8.467,jax,ind,h
QB,Blaine Gabbert,4300,0,ari,lar,h
RB,Andre Ellington,4300,9.767,ari,lar,h
WR,Martavis Bryant,4300,8.017,pit,cin,a
QB,Austin Davis,4300,0,sea,nyg,h
WR,Adam Humphries,4200,9.76,tb,buf,h
WR,Ricardo Louis,4200,6.817,cle,ten,a
RB,Jamaal Williams,4200,1,gb,no,a
QB,Sean Mannion,4200,-0.22,lar,ari,h
RB,Elijah McGuire,4200,5.883,nyj,mia,h
WR,Robby Anderson,4200,8.933,nyj,mia,h
WR,Jeremy Maclin,4200,8.78,bal,min,h
TE,Hunter Henry,4200,8.633,lac,den,a
WR,Paul Richardson,4200,9.36,sea,nyg,h
WR,Ted Ginn Jr.,4100,10.28,no,gb,h
RB,Frank Gore,4100,10.133,ind,jax,a
RB,Marlon Mack,4100,7.85,ind,jax,a
WR,Allen Hurns,4100,9.567,jax,ind,h
WR,Jeremy Kerley,4100,8.86,nyj,mia,h
WR,Mike Wallace,4100,8.05,bal,min,h
QB,Brock Osweiler,4100,0.62,den,lac,h
RB,Jamaal Charles,4100,6.14,den,lac,h
RB,C.J. Prosise,4100,5.567,sea,nyg,h
RB,Thomas Rawls,4100,1.967,sea,nyg,h
WR,Tyler Lockett,4100,7.72,sea,nyg,h
QB,Joe Webb,4000,0,buf,tb,a
QB,Nathan Peterman,4000,0,buf,tb,a
TE,Charles Clay,4000,12.16,buf,tb,a
QB,Ryan Griffin,4000,0,tb,buf,h
RB,Jacquizz Rodgers,4000,6.24,tb,buf,h
QB,Mark Sanchez,4000,0,chi,car,a
QB,Brad Kaaya,4000,0,car,chi,h
QB,Cody Kessler,4000,0,cle,ten,a
RB,Isaiah Crowell,4000,7.233,cle,ten,a
WR,Kenny Britt,4000,6.525,cle,ten,a
WR,Josh Gordon,4000,0,cle,ten,a
QB,Brandon Weeden,4000,0,ten,cle,h
QB,Taysom Hill,4000,0,no,gb,h
WR,Willie Snead,4000,2.1,no,gb,h
QB,Brandon Allen,4000,0,lar,ari,h
WR,Robert Woods,4000,9.5,lar,ari,h
QB,Drew Stanton,4000,0,ari,lar,h
WR,J.J. Nelson,4000,10.283,ari,lar,h
RB,Kenyan Drake,4000,0.8,mia,nyj,a
QB,Bryce Petty,4000,0,nyj,mia,h
QB,Christian Hackenberg,4000,0,nyj,mia,h
QB,Teddy Bridgewater,4000,0,min,bal,a
QB,Kyle Sloter,4000,0,min,bal,a
RB,Latavius Murray,4000,2.933,min,bal,a
QB,Ryan Mallett,4000,5.44,bal,min,h
RB,Alex Collins,4000,6.3,bal,min,h
QB,Jeff Driskel,4000,0,cin,pit,h
QB,Joshua Dobbs,4000,0,pit,cin,a
QB,Kellen Moore,4000,0,dal,sf,h
QB,Paxton Lynch,4000,0,den,lac,h
QB,Chad Kelly,4000,0,den,lac,h
QB,Kellen Clemens,4000,0,lac,den,a
RB,Branden Oliver,4000,3.2,lac,den,a
WR,Tyrell Williams,4000,9.45,lac,den,a
QB,Davis Webb,4000,0,nyg,sea,a
DST,Seahawks ,4000,10,sea,nyg,h
RB,Malcolm Brown,3900,3.44,lar,ari,h
RB,Terrance West,3900,5.82,bal,min,h
WR,Terrance Williams,3900,7.4,dal,sf,h
WR,Marquise Goodwin,3900,7.75,sf,dal,a
RB,Wayne Gallman,3900,10.467,nyg,sea,a
RB,Eddie Lacy,3900,3.1,sea,nyg,h
RB,Mike Tolbert,3800,5.54,buf,tb,a
RB,Jonathan Stewart,3800,6.683,car,chi,h
WR,Russell Shepard,3800,3.983,car,chi,h
RB,Corey Grant,3800,2.167,jax,ind,h
TE,Kyle Rudolph,3800,8.85,min,bal,a
RB,Giovani Bernard,3800,9.5,cin,pit,h
WR,JuJu Smith-Schuster,3800,7.7,pit,cin,a
WR,Roger Lewis,3800,4.45,nyg,sea,a
WR,Jordan Matthews,3700,8.05,buf,tb,a
WR,Kendall Wright,3700,8.267,chi,car,a
WR,Curtis Samuel,3700,1.82,car,chi,h
RB,Robert Turbin,3700,4.317,ind,jax,a
DST,Jaguars ,3700,14.5,jax,ind,h
RB,Damien Williams,3700,2.26,mia,nyj,a
RB,Danny Woodhead,3700,6.7,bal,min,h
WR,Brice Butler,3700,8.14,dal,sf,h
WR,Aldrick Robinson,3700,5.05,sf,dal,a
RB,Orleans Darkwa,3700,8.16,nyg,sea,a
WR,Zay Jones,3600,2.32,buf,tb,a
DST,Panthers ,3600,6.5,car,chi,h
TE,George Kittle,3600,8.033,sf,dal,a
RB,De'Angelo Henderson,3600,0.033,den,lac,h
RB,Shane Vereen,3600,6.55,nyg,sea,a
WR,Brandon Tate,3500,3.5,buf,tb,a
RB,Charles Sims,3500,4.84,tb,buf,h
TE,Ed Dickson,3500,8.117,car,chi,h
WR,Geronimo Allison,3500,5.66,gb,no,a
DST,Cowboys ,3500,4.6,dal,sf,h
RB,Devontae Booker,3500,6.7,den,lac,h
DST,Broncos ,3500,7.4,den,lac,h
RB,Austin Ekeler,3500,4.483,lac,den,a
WR,Andre Holmes,3400,4.3,buf,tb,a
DST,Bills ,3400,9.8,buf,tb,a
